species_Jan21	SGB_Jan21	SGB_Jun23	GTDB_r207	GTDB_r220	MSP_Meteor2
Faecalibacterium_prausnitzii	SGB15342,SGB15323,SGB15322,SGB15317,SGB15318_group,SGB15332_group,SGB15316_group	SGB15342,SGB15323,SGB15322,SGB15317,SGB15318_group,SGB15332_group,SGB15316_group	s__Faecalibacterium prausnitzii_G,s__Faecalibacterium prausnitzii,s__Faecalibacterium prausnitzii_C,s__Faecalibacterium prausnitzii_I,s__Faecalibacterium prausnitzii_H,s__Faecalibacterium prausnitzii_E,s__Faecalibacterium prausnitzii_D	s__Faecalibacterium prausnitzii_D,s__Faecalibacterium prausnitzii_E,s__Faecalibacterium hattorii,s__Faecalibacterium prausnitzii_I,s__Faecalibacterium duncaniae,s__Faecalibacterium prausnitzii,s__Faecalibacterium longum	msp_0893,msp_0388,msp_0301,msp_0399,msp_0345,msp_0893,msp_0457
Faecalibacterium_SGB15346	SGB15346	SGB15346	s__Faecalibacterium sp900539945	s__Faecalibacterium sp900539945	msp_0484
Firmicutes_bacterium_AF16_15	SGB4993	SGB4993	s__Eisenbergiella sp900066775	s__Gallintestinimicrobium propionicum	msp_0125
Gemmiger_formicilis	SGB15300	SGB15300	s__Gemmiger formicilis	s__Gemmiger formicilis	msp_0374
Lachnospira_eligens	SGB5082_group	SGB5082	s__Lachnospira eligens_A	s__Lachnospira eligens_A	msp_0029
Lachnospira_pectinoschiza	SGB5075_group	SGB5075	s__Lachnospira rogosae_A	s__Lachnospira pectinoschiza_A	msp_0087
Lachnospira_sp_NSJ_43	SGB5087	SGB5087	s__Lachnospira sp900316325	s__Lachnospira hominis	msp_0227
Lachnospiraceae_bacterium_OM04_12BH	SGB4893	SGB4893	s__CAG-95 sp900066375	s__Suilimivivens aceti	msp_0373
Lachnospiraceae_bacterium_WCA3_601_WT_6H	SGB4910	SGB4910	s__Acetatifactor intestinalis	s__Acetatifactor intestinalis	msp_0055
Lacrimispora_amygdalina	SGB4716,SGB29368	SGB4716,SGB29368	s__Lacrimispora amygdalina_A,s__Copromonas sp900066535	s__Lacrimispora amygdalina_A,s__Alitiscatomonas sp900066535	msp_0898
Mediterraneibacter_butyricigenes	SGB25493	SGB25493	s__Mediterraneibacter_A butyricigenes	s__Mediterraneibacter_A butyricigenes	NA
Oscillibacter_sp_ER4	SGB15254	SGB15254	s__ER4 sp000765235	s__Hominicoprocola fusiformis	msp_0763
Phocaeicola_massiliensis	SGB1812	SGB1812	s__Phocaeicola massiliensis	s__Phocaeicola massiliensis	msp_0040
Roseburia_hominis	SGB4936	SGB4936	s__Roseburia hominis	s__Roseburia hominis	msp_0071
Roseburia_intestinalis	SGB4951	SGB4951	s__Roseburia intestinalis	s__Roseburia intestinalis	msp_0017
Roseburia_inulinivorans	SGB4940	SGB4940	s__Roseburia inulinivorans	s__Roseburia inulinivorans	msp_0072
Roseburia_sp_AF02_12	SGB4938	SGB4938	s__RUG115 sp900066395	s__Roseburia_C amylophila	msp_0057
Ruminococcus_bicirculans	SGB4262	SGB4262	s__Ruminococcus_D bicirculans	s__Hominimerdicola aceti	msp_0013
Ruminococcus_lactaris	SGB4557	SGB4557	s__Mediterraneibacter lactaris	s__Mediterraneibacter lactaris	msp_0250
